Yemek Adı,Mutfağı,Süresi,Malzemeler,Yapılış
Tarhana Çorbasi,Türk,20 dk,"4 dolu yemek kasigi tarhana 
8 bardak et suyu veya su  
100 gr kiyma (et suyu olursa gerekmez) 
 1 büyük domates 
1 yemek kasigi tepeleme yemek tereyagi","1-Tarhanayi 1 bardak su veya et suyuyla islatin. 
2-Kiymayi yagla birlikte 4-5 dakika kavurun. Dogranmis domatesleri 
karistirip 3-4 dakika daha pisirin. 
3-Kalan et suyunu ve islatilmis tarhanayi kiymaya katin. Ara sira 
karistirarak 10 dakika daha pisirin. 
Not:Kiyma kullanilmadigi zaman, domatesi süzgeçten geçirin ya da küçük 
parçalara dograyip yagla biraz pisirin."
iskembe Çorbasi,Türk,40 dk,"1 adet koyun iskembesi 
1 bas sogan 
2 kahve fincani un  
100 gr (4yemek kasigi tepeleme) tereyagi veya margarin 
1 yemek kasigi silme tuz 
 2 çay kasigi kirmizi biber 
Terbiyesi:3 adet yumurta sarisi 
2 adet limon  

1 bas sarmisak 
1 kahve fincani sirke","1-iskembeyi temizleyip yikadiktan sonra 4-5 litre suyla atese koyun. içine 
dörde bölünmüs sogan, 4-5 dis sarmisak, ½ limon kabugu ve tuz katin. 
Kaynamaya baslarken kopügünü alin. iskembe yumusayana kadar, kisik 
ates üzerinde pisirin. (Etler pisip de 3 litre et suyu kalinca atesten indirin.) 
2-iskembeyi tavla zari büyüklügünde dograyin. 
3-Unu 3 kasik yagla biraz kavurun. Üzerine azar azar iskembe suyundan 
döküp karistirin. 10 dakika kaynatin. Sonra da dogranmis iskembeleri 
katin. 
4-Üç yumurta sarisi, 1 ½ limon suyu, ½ bardak suyla hazirlayacaginiz 
terbiyeyi çorbaya karistirin. Kalan yagi eritip kirmizibiber koyduktan sonra 
uzerine gezdirin. 
Not:4-5 dis sarmisagi biraz tuzla havanda dövün. 1 kahve fincani sirkeyle 
karistirin."
Dügün Çorbasi,Türk,30dk,"2 lt et suyu (8 bardak) 
250 gr koyun eti 
125 gr un (1 bardak silme) 
1 yemek kasigi tereyagi (Tepeleme) 
½ yemek kasigi tuz 2 çay kasigi kirmizibiber 
Terbiyesi:2 yumurta sarisi 
1 adet limon","1-Kusbasi dogranmis eti yeterince suyla pisirin. 
2-Unu bir bardak soguk et suyuyla karistirip bulamaç yapin. 
3-Kalan et suyunu kaynatin, pisen eti ve suyunu katin.Hazirladiginiz 
bulamaci azar azar katarak yedirin.Tuz koyun, 10 dakika pisirin. 
4-Terbiyesini yapin.Servisten önce üzerine kirmizibiberli yag gezdirin"
Bolu Tarhana Çorbasi,Türk,30dk,"100 gr yagsiz kiyma 
150 gr köy tarhanasi  
1 adet iri domates 
1 çorba kasigi tereyag 
2 kg et suyu veya su  
tuz","Tarhanayi bir bardak et suyu veya su ile iyice karistirip 20 dakika kadar 
islatip, bekkletin. Sonra ince bir süzgeçten geçirip, süzün. Bir tencerede 
kaynamis et suyuna tarhanayi karistirarak ilave edin ve kaynatin.Küçük bir 
tencerede kiymayi tereyaginda 3-4 dakika kavurun. Domateslerin 
kabugunu soyduktan sonra çekirdeklerini çikartip ince ince dograyin ve 
tencereye ilave atin. 2-3 dakika daha kavurduktan sonra domatesli 
kiymayi çorbanin içine katin. On dakika kadar agir ateste pisirip servis 
yapin. 
 
 
 
 
  - 15"
Mantar çorbasi,Amerikan,30dk,"2 torba kuru mantar 
500 gr. sogan 
1 kirmizi, 1 sari ve 1 yesil dolmalik biber 
2 dis sarmisak 
6 yemek kasigi soya yagi 
1/2 lt hazir sebze suyu 
4 dilim tost ekmegi 
Tuz, karabiber 
100 gr. rendelenmis eski kasar peyniri 
Biraz maydanoz 
Bir çorba kasigi Ameriksn soya unu","Mantarlari yikayin. 1/4 lt. suda haslayin. Sogan ve biberleri ayikladiktan 
sonra yikayin. Soganlari yuvarlak, biberleri ince dilimler halinde dograyin. 
Sarmisagi ince dograyin. 3 yemek kasigi soya yagini bir tencerede isitin. 
Sebze ve saimisagin yarisini içinde çevirin. Sulu mantarlari ve soya ununu 
bunun içine dökün. Hepsini dökerek 10 dk. kadar pisirin. Ekmegi küp 
seklinde dograyin. Soya yagini tavada isitin. Ekmekleri ve arta kalan 

sarmisagi içinde pembelestirin. Çorbaya tuz ve karabiber ekleyin. Çorbanin 
üstüne maydanoz serpistirin. Ekmek ve peyniri çorbanin yaninda servis 
yapin."
Domates Çorbasi,Türk,30dk,"5 adet domates 
1 yemek kasigi margarin 
1 yemek kasigi un 
1 bardak süt 
1 çay bardagi rendelenmis taze kasar","Hafifçe eritilmis yag ve un kisik ateste hafifçe çevrilir. Yavasça süt ilave 
edilir. 1,5 litre kadar su agir agir karisima ilave edilir ve kaynamaya 
birakilir. Diger tarafta kabuklari soyulmus domatesler blender yardimiyla 
çekilir. Kaynamakta olan suya ilave edilir. 10 dakika kadar pisirilir. Çorba 

ilindiktan sonra bir kez daha mixer yardimiyla boza kivamina getirilir. 
Arzuya kadar tuz ilave edilir. Servis edilecegi zaman üzerine rendelenmis 
taze kasar konulur."
Kuzu kaburga dolmasi,Türk,45 dk,"2 su bardagi elma suyunda haslanmis Amerikan Pirinci 
3 kg. kuzu kaburgasi (pirzolasi) bütün olarak 
Tuz ve toz karabiber 
Dolma Içi: 
1 su bardagi dogranmis kereviz basi 
1 çay bardagi dogranmis sogan 
4 yemek kasigi tereyag veya margarin 
2 su bardagi dilimlenniis elma 
1 çay bardagi ceviz 
1 çay bardagi çekirdeksiz kuru üzüm 
1 çay kasigi tuz 
1 çay kasigi baharat","Kuzu kaburgasini kemikler yukariya gelecek sekilde dairesel olarak düz bir 
tepsiye yerlestirin. Üzerine tuz ve biber serpin. Yanmamasi için kemik 
uçlarini folyo ile sarin. Su ilave etmeyin ve üzerini kapatmayin. 200 derece 
firinda 30 dakika süre ile kizartin. Diger tarafta genis bir tava içinde 
tereyagini eritin. Kereviz ve sogani orta ateste pisirin. Ocaktan indirin. 
Pirinç, elma, ceviz, kuru üzüm, tuz ve baharat ile karistirin. Kizarmis 
kaburganin içini bu malzeme ile doldurun. Üzerini folyo ile kapatin ve 15 
dakika daha pisirin. Folyolari çikarin ve sicak olarak servis yapin"
Etli Karisik Dolma,Türk,30dk,"500 gr kiyma 
1 kg dolmalik biber  
5 adet domates 
1.5 kahve fincani pirinç 
1 çorba kasigi margarin  

2 bas sogan 
1 çorba kasigi ayçiçek yagi 
Yarim demet maydanoz","Biberlerin üst taraflarini kesin. Domateslerin içlerini kasikla bosaltip, 
çikardiginiz etli kisimlari kiymaya karistirin. Çentilmis iki bas sogani, 
yikanmis pirinci, kiyilmis maydanozu, tuzu, biberi de kiymaya ekleyin. 
Yarim fincan su ve bir çorba kasigi ayçiçek yagi ilavesiyle kiymayi 
yogurun. Su ve ayçiçek yagi dolmanin daha yumusak ve gevsek olmasini 
saglayacaktir. Biberleri ve domatesleri doldurun, margarini ve yarim 
bardak suyu katarak, pirinçler yumusayincaya kadar pisirin"
Lahana sarmasi,Türk,60dk,"2 bardak haslanmis Amerikan Pirinci  
7-8 adet haslanmis lahana yapragi  
250 gr. kiyma 

1 büyük bas sogan 
1 adet küp dogranmis domates  
1/2 demet dereotu 
1 adet limon 
2 çorba kasigi zeytinyagi 
2 çorba kasigi pastörize yogurt 
1 seker kasigi yenibahar ve karabiber  
Yeterince tuz","Yemeklik dogradiginiz sogani ve kiymayi zeytinyaginda kavurun. Içine 
dereotu, pirinç, domates, yenibahar, karabiber ve tuzunu ilave edip 5 
dakika daha kavurun. Hazirlamis oldugunuz bu içi lahana yapraklarinin 
içine yerlestirip dolma seklinde sarin. Firin kabina dolmalari dizin ve 5 
dakika firinlayin. Yaninda garnitür olarak yogurt ve limon kullanarak servis 
yapabilirsiniz."
Pirinçli Sogan Dolması,Türk,40 dk,"1 su bardagi pirinc 
Yarim su bardagi su 
2 çorba kasigi soya yagi 
1 su bardagi rendelenmis kasar peyniri 
1 fincan tavuk suyu  
1 dis sarimsak 
1-2 demet dereotu","Bir tavada yag kizdirip pirinci hafif kavurun. Içine ezilmis sarimsak, 
kiyilmis dereotu, tuz ve kirmizi biberi ekleyip biraz daha kavurun. Pirinçler 
göz göz olunca 1 fincan tavuk suyunu ilave edip suyunu çekene kadar 
kaynatin. Soganlarin kabuklarini soyup ortadan 2'ye ayirin. Içlerine 
hazirlamis oldugunuz pirinçli karisimdan doldurun ve firin kabina dizin. 
Dolmalarin üzerine kasar peyniri rendesi serpistirip 20 dakika soganlar 
pisene kâdar firinlayin."
Zeytinyagli pirasa dolmasi,Türk,60dk,"2 bardak haslanmis Amerikan Pirinci  
Yarim kilo pirasa 
1 adet havuç (dogranmis)  
2 su bardagi yogurt  
Yarim demet dereotu 
1 adet patlican (küp seklinde dogranmis)  
1 domates 
2 seker kasigi kuru nane  
2 yemek kasigi zeytinyagi  
Yeterince tuz ve kimyon","Pirincin pismesi için 2.5 bardak su ile biraz haslayin. Bir tavada yagi 
kizdirip patlican, pirinç, dereotu, kuru nane, tuz ve kimyonu ekleyip 20 
dakika kadar kavurun. Pirinçler pisince hazirlanmis olan bu içten 
pirasalarin içine doldurun, firina koymadan önce üzerlerine yogurt dökün 
sonra firin kabina dizin. 150 derece isitilmis firinda 30 dakika kadar pisirin. 

Servis tabagina alip domates, havuç ve limon dilimleriyle süsleyerek servis 
yapabilirsiniz."
Karides Sis,Türk,45 dk,"20 adet iri karides 
10 adet defne yapragi 
5 küçük domates 
6 adet yesil sivri biber 
 2 adet limon 
1-2 yemek kasigi zeytinyagi","1. Karideslerin baslarini koparip kabuklarini çikartin. Sirtindaki siyah 
bagirsagi biçagin ucuyla temizledikten sonra yikayip kurulayin.  
2. Karideslere tuz, biber serpin; 1 limon suyu ile karistirarak 10 dakika 
bekletin. Bas ve kuyruklarini büküp yuvarlayarak sislere geçirin. Aralarina 

yarim limon dilimi, yarim defne yapragi dörde bölünmüs domates ve yesil 
biber geçirmeyi unutmayin. 
3. Karidesleri yaglayin ve çevirerek ateste pisirin. Sebze garnitürleri ve 
limon salçasiyla servis yapin."
Deve Tabani Baklava,Türk,60dk-Fazla,"1 çay bardagi zeytinyagi  
2 çay bardagi su  
2-3 damla limon 
Yeteri kadar un (Yumusak bir hamur için)  
 
Açmak için :  
1 paket nisasta  
1 çay bardagi un  
 
Içi için : 
1 su bardagi çekilmis ceviz  
 

Üzeri için : 
 250 gr tereyagi (kizdirilmis)  
 
Serbeti için :  
2 su bardagi seker 
1 su bardagindan biraz fazla su","Zeytinyagi, su ve limon suyunu karistirip içine unu azar azar ekleyin. Elle 
çirpin. Civik bir halde iken un katarak fazla sert olmayan bir hamur tutun. 
20 dakika üzerine bez örtup hamuru dinlendirin.  
Hamurdan 12 adet cevizden biraz büyük bezeler koparin. Üzerine nisastali 
un karisimi serpin. Oklava ile çarsi yufkasindan biraz daha büyük olarak, 
nisastali un yardimi ile açin. Her bir yufkayi karsilikli kenarlarindan ortaya 
dogru dört bir kenarindan toplayin.(büzerek).  
Ortadaki büzülmüs kisma ceviz koyup, uç kismindan ortaya dogru kapatin. 
Firin tepsisine yavasça çevirin. Üzerine kizdirilmis tereyagini dökerek firina 
verin.  
Pembelesince firindan alin. Kizginligi gittikten sonra ilindirilmis serbeti 
üzerine döküp servise sunun."
Beyin Çorbasi,Türk,30dk,"2 ½ lt et suyu (10 bardak) 
125 gr un (1 bardak) 
2 yemek kasigi tepeleme tereygi veya margarin 
2 adet koyun beyni 
½ demet maydanoz tuz 
Terbiyesi: 3 adet yumurta sarisi 
½ kahve fincani limon suyu 
½ bardak su","1-Beyinleri soguk suya birakin. Üzerindeki zari çikartip suyla atese koyup 
haslayin. Soguduktan sonra findik büyüklügünde dograyin. 
2-Unla yagi çorba tenceresinde biraz kavurun. Kalan beyin ve et suyunu 
azar azar ekleyip yedirin.10 dakika sonra da beyinlerle tuzu koyun. 
3-Terbiyesini hazirlayip çorbaya karistirin. Üzerine kiyilmis maydanoz 
serpin."
Borsch (Bors) Çorbasi,Bilinmiyor,60dk,"3 lt et suyu(12 bardak) 
500 gr haslanmis sigir eti 
100 gr tereyagi veya margarin 
2 adet pancar 
1 küçük kereviz 
1 küçük havuç 
¼ küçük bir lahana 
2 orta boy sogan 
2 yemek kasigi domates salçasi veya (3 orta boy) domates 
 4-5 sap maydanoz 
1 adet defne yapragi 
1 adet kirmizi biber 
3 dis sarmisak  
1 tatli kasigi seker  
1 yemek kasigi sirke  
1 yemek kasigi un 
1 yemek kasigi tuz","1-Pancari kibrit biçiminde dograyin. Kiyilmis sarmisak, seker ve sirke 
koyarak biraz bekletin (renk vermesi için) 
2-Soganlari 2 mm kalinliginda yarim ay seklinde, kereviz ve havuçu da 
kibrit biçiminde ve boyunda dograyin. 
3-Lahanayi kaynar tuzlu suda 3-4 dakika haslayin. iri parçalara bölün. 
4-Büyük bir tencerede soganla yagi hafifçe kavurun. Sonra havuç, kereviz 
ve pancari koyup 2-3 dakika daha kavurun. Un ve salçayi veya 
rendelenmis domatesi koyduktan sonra da 1-2 dakika karistirin. 
5-üç litre et suyu, haslanmis ve dogranmis sigir eti, demet halinde 
baglanmis maydanoz, defne yapragi, kirmizibiber, dogranmis lahana ve 
tuz katip 30 dakika pisirin. 
6-Defne yapragini, maydanoz demetini içinden çikartin. Servis yaparken 
çorbanin üzerine birer kasik yogurt veya eksi krema koyun"
Bahar Çorbasi,Türk,45 dk,"2 ½ lt (10 bardak) et suyu 
125 gr (1 bardak silme) un 
100 gr (4 yemek kasigi tepeleme) tereyagi veya margarin 
1 küçük boy havuç 
1 küçük boy kereviz 
1 küçük boy kabak 1 avuç taze fasulye 
1 çay kasigi kirmizi biber-tuz 
Terbiyesi: 1 ½ adet limon 
3 adet yumurta sarisi","1-Sebzeleri ayikalayip nohut büyüklügünde dograyin. Üzerini örtecek 
kadar sicak su ve 2 çay kasigi tuz katarak yavas yavas kaynatip 30 dk 
pisirin. 
2-Yagla unu biraz kavurun, et suyunu azar azar katip yedirin. (Et suyunu 
katarken tencereyi atesten alin ve çok iyi karistirarak yedirin. Aksi halde 
karisim pürtüklü olabilir), 5-10 dakika kaynatip sebzeleri koyun. 
3-Üç yumurta sarisini limon suyu ve suyla karistirip çorbaya katin. Üzerine 
kirmizibiber ekin."
Yumurtali Konsome,Türk,30dk,"1 ½ lt (6 bardak) konsome 
1 bardak süt 2 bütün yumurta","1-Yumurtalari bir kaba kirin. Telle karistirarak sütü katin. Tuz, biber 
koyun. 
2-4 adet krem karamel kalibina, ya da 15 cm. Çapinda dibi düz bir kaliba 
bosaltin. içinde sicak su bulunan bir tepsiye oturtun. Firinda 20 dakika 
pisirin. 
3-Firindan ve sudan çikartip sogutun.Kaliplari ters çevirip bosaltin. Pisen 
yumurtali karisimi küp seklinde dograyin. 
4-Yumurtali garnitürü konsome kaselerine dagitin. Üzerine sicak konsome 
koyup servis yapin."
Sebzeli Konsome,Türk,30dk,"1 ½ lt (6 bardak) konsome 
1 küçük kereviz ½ orta boy pirasa (beyaz kismi)","1-Sebzeleri ayiklayin, kibrit biçiminde ince uzun parçalar halinde 
dograyin.Sicak, tuzlu suya atip 15-20 dakika haslayin.Suyunu süzdükten 
sonra sicak konsomeye katin."
Tel Sehriyeli Konsome,Bilinmiyor,20,"1 ½ lt (6 bardak) konsome(konsome:Yagi alinmis ve berraklastirilmis 
kuvvetli et suyu, demektir) 
 100 gr tel sehriye","1-Sehriyeyi kaynar tuzlu suya atarak 10 dakika haslayin. Suyunu suzun, 
sicak, konsomeye karistirip servis yapin."
Sogan Çorbasi 2,Bilinmiyor,30dk,"2 lt koyu renk et suyu 
500 gr (5-6 adet) sogan 
4 silme yemek kasigi tereyagi 1 bardak rendelenmis kasar peyniri 
7-8 adet tost ekmegi","1-Soganlari ayiklayip ince dilimler halinde kesin. Yagla birlikte açik pembe 
renkte kavurun. Et suyu katip 20 dakika pisirin. 
2-Ekmek dilimlerine kasar peyniri serpistirin ve firinda üzerlerini kizartin. 
Kare seklinde küçük parçalara dograyin. 
3-Çorbalari tabaklara bölüp üzerlerine ekmeklerden koyun ve kasarpeyniri 
serptikten sonra servis yapin"
Sebzeli Balik Çorbasi,Türk,30dk,"2 lt (8 bardak) balik suyu 
1 orta boy sogan 
1 küçük boy havuç  
1 küçük boy kereviz 
1 orta boy patates  
1 yemek kasigi tuz 1 kahve fincani pirinç 
Terbiyesi: 2 yemek kasigi un 
2 adet yumurta sarisi 
½ kahve fincani limon suyu","1-Sebzeleri ayiklayip nohut büyüklügünde dograyin. Yikanmis pirinçle 
beraber üzerini geçecek kadar suyla atese koyun. 
2-Sebzeler ve pirinç yumusadigi zaman balik suyu ve tuz katin. 

3-Bir kapta un, yumurta sarisi, limon suyu, ½ bardak suyu bir telle çirpin. 
Kaynamakta olan çorbaya karistirin, 1-2 dakika sonra atesten indirin"
Sehriye Çorbasi (Terbiyeli),Türk,30dk,"2 ½ lt et suyu(10 bardak) 
100 gr tel sehriye 
2 çay kasigi tuz  
Terbiyesi: 3 adet yumurta sarisi 
1 adet limon","1-Et suyunu çorba tenceresinde kaynatin. Küçük parçalara kirilmis 
sehriyeyi ve tuzu koyup 10 dakika pisirin. 
2- Yumurta sarisi, limon suyu ve ½ bardak suyu bir kapta çirpin. 
Kaynayan corbaya azar azar katin ve bir iki tasim kaynatip indirin"
Sehriye Çorbasi (Domatesli),Türk,30dk,"2 ½ lt et suyu (yagli) 
100 gr tel sehriye 
3 orta boy domates  
½ demet maydanoz 
tuz","1-Domatesleri ortadan ikiye keserek çekirdeklerini çikarin ve kabuklari 
kalacak biçimde, iri rendeden geçirin. Bir iki kasik et suyunun yagindan 
koyup ateste yumusatin. Sonra kalan et suyunu ekleyin. 
2-Kaynamaya baslarken tuz ve sehriyeyi katin 10 dk sonra kiyilmis 
maydanoz serpip indirin."
Pirinç Çorbasi (Domatesli),Türk,25,"2 ½ lt (10 bardak ) et suyu veya su 
¾ bardak pirinc 
300 gr (3 orta boy) kirmizi olgun domates  
7-8 sap maydanoz","1-Domateslerin kabuklarini ve çekirdeklerini çikartip küçük parçalara 
dograyin veya domatesleri ikiye kesip çekirdeklerini çikardiktan sonra kalin 
rendeden geçirin. 1 bardak et suyuyla atese koyun ve 5-10 dakika 
kaynatin. 
2-Kalan et suyuyla temizlenmis ve yikanmis pirinci katin. Kisik ateste 
pirinçler yumusayana dek pisirin tuz katip kiyilmis maydanoz serpin."
Pirinç Çorbasi,Türk,30dk,"2 ½ lt. (10 bardak) et suyu 
125 gr (3/4 bardak) pirinç 
 7-8 sap maydanoz","Pirinci ayiklayip yikayin. Et suyuyla atese koyun. Pirinçler pisinceye kadar 
yavas yavas kaynamasini saglayin. Tuz katip atesten indirmeden önce 
üzerine kiyilmis maydanoz serpin."
